,index,Ruta,Origen,Destino,Distancia KM
0,0,100047,1000001000,2040104003,939.0
1,1,100065,1000001000,2070603006,883.0
2,2,100078,1000001000,2090102000,10.5
3,72,100079,1000001000,2090102001,11.8
4,135,100080,1000001000,2090102002,18.6
5,265,100081,1000001000,2090102004,5.8
6,337,100082,1000001000,2090102005,20.7
7,441,100084,1000001000,2090102007,33.0
8,528,100091,1000001000,2110102002,238.0
9,550,100093,1000001000,2110102005,302.0
10,557,100104,1000001000,2110102019,217.0
11,586,100105,1000001000,2110102020,161.0
12,604,100108,1000001000,2120101000,389.0
13,655,100109,1000001000,2120101001,414.0
14,669,100110,1000001000,2120101002,470.0
15,690,100112,1000001000,2120101004,392.0
16,744,100113,1000001000,2120101005,568.0
17,757,100115,1000001000,2120101007,336.0
18,766,100116,1000001000,2120101008,580.0
19,773,100118,1000001000,2120101010,517.0
20,787,100120,1000001000,2120602000,294.0
21,832,100122,1000001000,2120602002,644.0
22,849,100125,1000001000,2120602005,202.0
23,900,100128,1000001000,2130403000,87.9
24,936,100132,1000001000,2130403004,156.0
25,969,100133,1000001000,2130403005,160.0
26,979,100134,1000001000,2130403007,174.0
27,993,100135,1000001000,2130403008,240.0
28,1000,100136,1000001000,2130403009,113.0
29,1016,100137,1000001000,2130403010,78.9
30,1039,100138,1000001000,2130403011,314.0
31,1079,100143,1000001000,2140203000,542.0
32,1098,100168,1000001000,2150802000,21.6
33,1176,100170,1000001000,2150802005,40.8
34,1237,100172,1000001000,2150802007,55.7
35,1302,100174,1000001000,2150802009,52.3
36,1322,100178,1000001000,2151102000,63.0
37,1381,100181,1000001000,2151102005,81.3
38,1402,100183,1000001000,2151102007,112.0
39,1427,100184,1000001000,2151102008,139.0
40,1474,100186,1000001000,2151102011,125.0
41,1487,100188,1000001000,2151102013,101.0
42,1545,100196,1000001000,2160502014,610.0
43,1546,100197,1000001000,2160502000,306.0
44,1561,100200,1000001000,1000002000,541.0
45,1564,100210,1000001000,2170102000,116.0
46,1644,100214,1000001000,2170102004,138.0
47,1679,100223,1000001000,2190502000,920.0
48,1681,100231,1000001000,2200201000,732.0
49,1685,100234,1000001000,2200201003,672.0
50,1686,100235,1000001000,2200201004,733.0
51,1690,100239,1000001000,2200302000,461.0
52,1707,100241,1000001000,2200302003,575.0
53,1710,100244,1000001000,2200302006,631.0
54,1724,100245,1000001000,2200302007,717.0
55,1733,100247,1000001000,2200302009,486.0
56,1756,100251,1000001000,2210503002,249.0
57,1764,100265,1000001000,2210503018,129.0
58,1792,100266,1000001000,2210503020,77.2
59,1799,100267,1000001000,2210503021,200.0
60,1842,100270,1000001000,2240302001,416.0
61,1851,100279,1000001000,2240302011,676.0
62,1852,100300,1000001000,1000003000,447.0
63,1888,100315,1000001000,2270201000,756.0
64,1902,100323,1000001000,2270201016,901.0
65,1903,100338,1000001000,2280202018,305.0
66,1917,100342,1000001000,2280202023,338.0
67,1919,100349,1000001000,2280202033,169.0
68,1950,100351,1000001000,2301202007,444.0
69,1963,100355,1000001000,2301202012,581.0
70,1967,100358,1000001000,2310104000,1.322
71,1972,100365,1000001000,2310104007,1.617
72,1974,100366,1000001000,2310104008,1.604
73,1975,100369,1000001000,2310104011,837.0
74,1979,100400,1000001000,1000004000,1.017
75,1982,100500,1000001000,1000005000,987.0
76,1986,100596,1000001000,2151102017,63.4
77,2061,100602,1000001000,2120101011,476.0
78,2083,200051,1000002000,2060102000,1.177
79,2084,200059,1000002000,2070603000,742.0
80,2088,200065,1000002000,2070603006,623.0
81,2090,200078,1000002000,2090102000,535.0
82,2103,200081,1000002000,2090102004,537.0
83,2105,200091,1000002000,2110102002,322.0
84,2107,200093,1000002000,2110102005,265.0
85,2155,200098,1000002000,2110102013,226.0
86,2170,200100,1000002000,1000001000,542.0
87,2201,200104,1000002000,2110102019,394.0
88,2204,200108,1000002000,2120101000,902.0
89,2211,200110,1000002000,2120101002,689.0
90,2213,200112,1000002000,2120101004,905.0
91,2219,200120,1000002000,2120602000,807.0
92,2222,200122,1000002000,2120602002,530.0
93,2244,200128,1000002000,2130403000,553.0
94,2247,200143,1000002000,2140203000,0.6
95,2341,200146,1000002000,2140203003,68.3
96,2370,200148,1000002000,2140203005,136.0
97,2386,200149,1000002000,2140203006,84.5
98,2428,200151,1000002000,2140203008,187.0
99,2448,200152,1000002000,2140203009,253.0
100,2465,200155,1000002000,2140203013,8.4
101,2538,200156,1000002000,2140203014,9.8
102,2596,200157,1000002000,2140203015,52.7
103,2602,200158,1000002000,2140203016,63.1
104,2610,200159,1000002000,2140203017,124.0
105,2643,200161,1000002000,2140203019,322.0
106,2699,200165,1000002000,2140203023,290.0
107,2725,200167,1000002000,2140203026,54.5
108,2738,200168,1000002000,2150802000,547.0
109,2743,200170,1000002000,2150802005,562.0
110,2747,200178,1000002000,2151102000,480.0
111,2748,200192,1000002000,2160502017,317.0
112,2751,200194,1000002000,2160502016,260.0
113,2752,200196,1000002000,2160502014,497.0
114,2763,200197,1000002000,2160502000,295.0
115,2863,200199,1000002000,2160502002,365.0
116,2871,200201,1000002000,2160502003,499.0
117,2880,200204,1000002000,2160502007,218.0
118,2902,200206,1000002000,2160502009,238.0
119,2911,200210,1000002000,2170102000,629.0
120,2922,200216,1000002000,2180402000,203.0
121,2931,200218,1000002000,2180402003,259.0
122,2932,200223,1000002000,2190502000,816.0
123,2941,200270,1000002000,2240302001,334.0
124,2950,200289,1000002000,2250301000,679.0
125,2951,200291,1000002000,2250902000,482.0
126,2954,200297,1000002000,2250902009,3.521
127,2958,200300,1000002000,1000003000,972.0
128,2966,200326,1000002000,2280202000,775.0
129,2968,200395,1000002000,2320403010,395.0
130,2969,200500,1000002000,1000005000,727.0
131,2970,300047,1000003000,2040104003,563.0
132,2991,300059,1000003000,2070603000,1.487
133,3002,300078,1000003000,2090102000,503.0
134,3011,300079,1000003000,2090102001,497.0
135,3017,300080,1000003000,2090102002,486.0
136,3030,300081,1000003000,2090102004,491.0
137,3032,300082,1000003000,2090102005,520.0
138,3037,300084,1000003000,2090102007,492.0
139,3046,300093,1000003000,2110102005,786.0
140,3050,300100,1000003000,1000001000,501.0
141,3070,300104,1000003000,2110102019,702.0
142,3078,300108,1000003000,2120101000,818.0
143,3090,300112,1000003000,2120101004,821.0
144,3099,300113,1000003000,2120101005,800.0
145,3101,300120,1000003000,2120602000,723.0
146,3127,300125,1000003000,2120602005,632.0
147,3141,300128,1000003000,2130403000,513.0
148,3149,300143,1000003000,2140203000,1.026
149,3165,300155,1000003000,2140203013,1.018
150,3171,300156,1000003000,2140203014,1.031
151,3176,300161,1000003000,2140203019,1.345
152,3181,300168,1000003000,2150802000,504.0
153,3192,300170,1000003000,2150802005,479.0
154,3208,300178,1000003000,2151102000,553.0
155,3220,300190,1000003000,2160101000,964.0
156,3221,300196,1000003000,2160502014,1.095
157,3222,300197,1000003000,2160502000,790.0
158,3243,300200,1000003000,1000002000,1.026
159,3255,300210,1000003000,2170102000,546.0
160,3279,300223,1000003000,2190502000,1.405
161,3281,300231,1000003000,2200201000,274.0
162,3354,300234,1000003000,2200201003,214.0
163,3383,300235,1000003000,2200201004,323.0
164,3410,300238,1000003000,2200201009,116.0
165,3420,300239,1000003000,2200302000,227.0
166,3461,300241,1000003000,2200302003,316.0
167,3477,300244,1000003000,2200302006,709.0
168,3518,300245,1000003000,2200302007,497.0
169,3568,300247,1000003000,2200302009,227.0
170,3608,300251,1000003000,2210503002,289.0
171,3609,300265,1000003000,2210503018,402.0
172,3632,300267,1000003000,2210503021,313.0
173,3656,300270,1000003000,2240302001,901.0
174,3667,300315,1000003000,2270201000,380.0
175,3747,300317,1000003000,2270201006,336.0
176,3813,300319,1000003000,2270201009,396.0
177,3887,300320,1000003000,2270201012,440.0
178,3924,300322,1000003000,2270201014,467.0
179,3934,300323,1000003000,2270201016,525.0
180,3961,300338,1000003000,2280202018,424.0
181,3976,300340,1000003000,2280202020,495.0
182,3990,300342,1000003000,2280202023,394.0
183,4001,300346,1000003000,2280202027,490.0
184,4009,300347,1000003000,2280202030,554.0
185,4011,300351,1000003000,2301202007,6.3
186,4045,300353,1000003000,2301202010,78.3
187,4073,300355,1000003000,2301202012,205.0
188,4122,300358,1000003000,2310104000,946.0
189,4202,300365,1000003000,2310104007,1.241
190,4276,300366,1000003000,2310104008,1.228
191,4323,300369,1000003000,2310104011,461.0
192,4457,300374,1000003000,2310104016,707.0
193,4489,300375,1000003000,2310104020,564.0
194,4504,300378,1000003000,2310104024,488.0
195,4513,300379,1000003000,2310104025,524.0
196,4526,300381,1000003000,2310104027,409.0
197,4542,300500,1000003000,1000005000,1.472
198,4554,300557,1000003000,2310104033,1.178
199,4567,400041,1000004000,2020202004,1.755
200,4570,400078,1000004000,2090102000,1.006
201,4572,400100,1000004000,1000001000,1.013
202,4574,400143,1000004000,2140203000,474.0
203,4587,400155,1000004000,2140203013,480.0
204,4594,400156,1000004000,2140203014,477.0
205,4597,400161,1000004000,2140203019,432.0
206,4655,400165,1000004000,2140203023,739.0
207,4656,400197,1000004000,2160502000,766.0
208,4657,400216,1000004000,2180402000,279.0
209,4702,400218,1000004000,2180402003,279.0
210,4712,400221,1000004000,2180402006,157.0
211,4726,400289,1000004000,2250301000,217.0
212,4745,400291,1000004000,2250902000,7.4
213,4774,400295,1000004000,2250902006,415.0
214,4780,400297,1000004000,2250902009,3.058
215,4818,400300,1000004000,1000003000,1.443
216,4819,400305,1000004000,2260502000,893.0
217,4821,400313,1000004000,2260502009,570.0
218,4823,400500,1000004000,1000005000,488.0
219,4824,500041,1000005000,2020202004,2.032
220,4827,500051,1000005000,2060102000,475.0
221,4838,500055,1000005000,2060102004,826.0
222,4843,500056,1000005000,2060102005,328.0
223,4857,500057,1000005000,2060102006,314.0
224,4859,500058,1000005000,2060102007,243.0
225,4860,500059,1000005000,2070603000,3.5
226,4950,500061,1000005000,2070603002,115.0
227,4957,500065,1000005000,2070603006,232.0
228,5001,500072,1000005000,2070603014,260.0
229,5042,500073,1000005000,2070603015,424.0
230,5045,500074,1000005000,2070603016,156.0
231,5048,500077,1000005000,2070603019,488.0
232,5051,500093,1000005000,2110102005,706.0
233,5057,500095,1000005000,2110102008,678.0
234,5059,500098,1000005000,2110102013,633.0
235,5062,500100,1000005000,1000001000,989.0
236,5071,500104,1000005000,2110102019,785.0
237,5077,500105,1000005000,2110102020,832.0
238,5078,500143,1000005000,2140203000,728.0
239,5087,500155,1000005000,2140203013,720.0
240,5089,500156,1000005000,2140203014,689.0
241,5090,500161,1000005000,2140203019,862.0
242,5102,500165,1000005000,2140203023,1.016
243,5104,500196,1000005000,2160502014,1.127
244,5105,500197,1000005000,2160502000,823.0
245,5111,500200,1000005000,1000002000,727.0
246,5116,500216,1000005000,2180402000,708.0
247,5118,500221,1000005000,2180402006,586.0
248,5120,500223,1000005000,2190502000,361.0
249,5172,500230,1000005000,2190502009,331.0
250,5225,500270,1000005000,2240302001,572.0
251,5228,500289,1000005000,2250301000,689.0
252,5234,500291,1000005000,2250902000,492.0
253,5258,500297,1000005000,2250902009,3.365
254,5274,500300,1000005000,1000003000,1.42
255,5287,500305,1000005000,2260502000,1.158
256,5288,500313,1000005000,2260502009,1.043
257,5289,500326,1000005000,2280202000,828.0
258,5332,500327,1000005000,2280202002,757.0
259,5335,500329,1000005000,2280202005,829.0
260,5337,500334,1000005000,2280202012,547.0
261,5343,500336,1000005000,2280202016,538.0
262,5347,500395,1000005000,2320403010,336.0
263,5349,500400,1000005000,1000004000,488.0
264,5352,500613,1000005000,2070603021,605.0
265,5359,800037,1000008000,2020202000,2.379
266,5374,800038,1000008000,2020202001,2.118
267,5383,800040,1000008000,2020202003,2.413
268,5386,800041,1000008000,2020202004,2.379
269,5413,800051,1000008000,2060102000,821.0
270,5441,800053,1000008000,2060102002,928.0
271,5445,800055,1000008000,2060102004,1.172
272,5508,800056,1000008000,2060102005,675.0
273,5538,800057,1000008000,2060102006,660.0
274,5549,800058,1000008000,2060102007,589.0
275,5551,800059,1000008000,2070603000,386.0
276,5652,800065,1000008000,2070603006,267.0
277,5703,800067,1000008000,2070603008,366.0
278,5704,800069,1000008000,2070603010,186.0
279,5721,800072,1000008000,2070603014,382.0
280,5752,800074,1000008000,2070603016,504.0
281,5753,800078,1000008000,2090102000,627.0
282,5789,800079,1000008000,2090102001,645.0
283,5799,800080,1000008000,2090102002,652.0
284,5809,800081,1000008000,2090102004,644.0
285,5828,800082,1000008000,2090102005,643.0
286,5845,800084,1000008000,2090102007,663.0
287,5864,800091,1000008000,2110102002,464.0
288,5933,800093,1000008000,2110102005,352.0
289,6045,800095,1000008000,2110102008,324.0
290,6077,800098,1000008000,2110102013,278.0
291,6090,800100,1000008000,1000001000,635.0
292,6100,800102,1000008000,2110102017,393.0
293,6113,800103,1000008000,2110102018,346.0
294,6163,800104,1000008000,2110102019,430.0
295,6274,800105,1000008000,2110102020,477.0
296,6330,800108,1000008000,2120101000,1.019
297,6343,800109,1000008000,2120101001,1.044
298,6347,800110,1000008000,2120101002,965.0
299,6352,800112,1000008000,2120101004,1.022
300,6366,800113,1000008000,2120101005,1.198
301,6373,800115,1000008000,2120101007,966.0
302,6377,800116,1000008000,2120101008,1.21
303,6385,800118,1000008000,2120101010,1.147
304,6390,800120,1000008000,2120602000,924.0
305,6405,800122,1000008000,2120602002,806.0
306,6425,800125,1000008000,2120602005,832.0
307,6437,800128,1000008000,2130403000,646.0
308,6462,800133,1000008000,2130403005,577.0
309,6469,800136,1000008000,2130403009,688.0
310,6484,800137,1000008000,2130403010,586.0
311,6501,800138,1000008000,2130403011,679.0
312,6522,800143,1000008000,2140203000,373.0
313,6620,800146,1000008000,2140203003,440.0
314,6676,800148,1000008000,2140203005,382.0
315,6690,800149,1000008000,2140203006,400.0
316,6711,800151,1000008000,2140203008,559.0
317,6737,800155,1000008000,2140203013,365.0
318,6792,800156,1000008000,2140203014,334.0
319,6820,800158,1000008000,2140203016,434.0
320,6825,800159,1000008000,2140203017,497.0
321,6846,800161,1000008000,2140203019,692.0
322,6936,800165,1000008000,2140203023,662.0
323,6957,800167,1000008000,2140203026,393.0
324,6963,800168,1000008000,2150802000,640.0
325,6986,800170,1000008000,2150802005,655.0
326,7020,800172,1000008000,2150802007,609.0
327,7027,800178,1000008000,2151102000,630.0
328,7053,800181,1000008000,2151102005,687.0
329,7054,800184,1000008000,2151102008,672.0
330,7056,800190,1000008000,2160101000,641.0
331,7134,800192,1000008000,2160502017,689.0
332,7136,800194,1000008000,2160502016,714.0
333,7162,800196,1000008000,2160502014,773.0
334,7189,800197,1000008000,2160502000,468.0
335,7249,800199,1000008000,2160502002,538.0
336,7253,800200,1000008000,1000002000,373.0
337,7254,800201,1000008000,2160502003,672.0
338,7316,800204,1000008000,2160502007,459.0
339,7351,800206,1000008000,2160502009,422.0
340,7393,800210,1000008000,2170102000,746.0
341,7417,800214,1000008000,2170102004,768.0
342,7431,800216,1000008000,2180402000,573.0
343,7466,800221,1000008000,2180402006,622.0
344,7472,800223,1000008000,2190502000,483.0
345,7540,800229,1000008000,2190502007,536.0
346,7542,800230,1000008000,2190502009,453.0
347,7614,800239,1000008000,2200302000,1.08
348,7615,800244,1000008000,2200302006,1.261
349,7618,800245,1000008000,2200302007,1.335
350,7620,800247,1000008000,2200302009,1.105
351,7621,800265,1000008000,2210503018,739.0
352,7652,800266,1000008000,2210503020,684.0
353,7653,800267,1000008000,2210503021,818.0
354,7658,800270,1000008000,2240302001,217.0
355,7790,800271,1000008000,2240302002,316.0
356,7814,800272,1000008000,2240302003,323.0
357,7822,800273,1000008000,2240302004,280.0
358,7833,800275,1000008000,2240302007,126.0
359,7859,800276,1000008000,2240302008,258.0
360,7871,800279,1000008000,2240302011,508.0
361,7921,800280,1000008000,2240302012,391.0
362,7956,800281,1000008000,2240302013,441.0
363,7971,800284,1000008000,2240302017,592.0
364,7990,800285,1000008000,2240302018,590.0
365,8050,800287,1000008000,2240302020,327.0
366,8054,800289,1000008000,2250301000,725.0
367,8066,800291,1000008000,2250902000,527.0
368,8072,800295,1000008000,2250902006,923.0
369,8077,800297,1000008000,2250902009,3.711
370,8093,800300,1000008000,1000003000,1.065
371,8208,800305,1000008000,2260502000,1.401
372,8213,800313,1000008000,2260502009,1.079
373,8215,800315,1000008000,2270201000,1.374
374,8233,800326,1000008000,2280202000,657.0
375,8253,800327,1000008000,2280202002,525.0
376,8259,800329,1000008000,2280202005,589.0
377,8268,800334,1000008000,2280202012,668.0
378,8303,800336,1000008000,2280202016,660.0
379,8312,800338,1000008000,2280202018,880.0
380,8315,800340,1000008000,2280202020,744.0
381,8322,800346,1000008000,2280202027,763.0
382,8329,800347,1000008000,2280202030,754.0
383,8335,800351,1000008000,2301202007,1.062
384,8336,800358,1000008000,2310104000,1.94
385,8345,800389,1000008000,2320403002,70.5
386,8351,800391,1000008000,2320403005,79.5
387,8365,800394,1000008000,2320403009,153.0
388,8375,800395,1000008000,2320403010,39.6
389,8417,800399,1000008000,2320403014,185.0
390,8426,800403,1000008000,2320403018,180.0
391,8453,800494,1000008000,2280202034,550.0
392,8487,800596,1000008000,2151102017,638.0
393,8493,800602,1000008000,2120101011,1.106
394,8497,800613,1000008000,2070603021,800.0
395,8503,800621,1000008000,2110102009,325.0
396,8538,100041,1000001000,2020202004,2.757
397,9090,100103,1000001000,2110102018,300.0
398,11377,300172,1000003000,2150802007,530.0
399,12466,400038,1000004000,2020202001,1.515
400,12467,400040,1000004000,2020202003,1.827
401,12894,500067,1000005000,2070603008,330.0
402,12923,500078,1000005000,2090102000,982.0
403,13196,500519,1000005000,2160502013,994.0
404,13277,800054,1000008000,2060102003,1.115
405,13397,800061,1000008000,2070603002,258.0
406,13542,800077,1000008000,2070603019,683.0
407,13852,800132,1000008000,2130403004,523.0
408,13856,800135,1000008000,2130403008,570.0
409,14611,800231,1000008000,2200201000,1.351
410,15093,800306,1000008000,2260502001,1.51
411,15111,800319,1000008000,2270201009,1.391
412,15217,800355,1000008000,2301202012,1.199
413,15224,800369,1000008000,2310104011,1.455
414,15385,100059,1000001000,2070603000,1.002
415,16016,100098,1000001000,2110102013,383.0
416,16017,100102,1000001000,2110102017,245.0
417,17437,100317,1000001000,2270201006,712.0
418,17593,200041,1000002000,2020202004,2.218
419,17611,200084,1000002000,2090102007,546.0
420,17683,200125,1000002000,2120602005,649.0
421,18431,200519,1000002000,2160502013,364.0
422,18681,300136,1000003000,2130403009,507.0
423,20268,300602,1000003000,2120101011,906.0
424,22290,800152,1000008000,2140203009,625.0
425,22568,800183,1000008000,2151102007,645.0
426,23848,800342,1000008000,2280202023,926.0
427,23878,800365,1000008000,2310104007,2.235
428,25822,100346,1000001000,2280202027,296.0
429,25997,200079,1000002000,2090102001,553.0
430,26001,200080,1000002000,2090102002,559.0
431,26009,200082,1000002000,2090102005,529.0
432,26745,200172,1000002000,2150802007,517.0
433,26849,200214,1000002000,2170102004,651.0
434,26866,200265,1000002000,2210503018,646.0
435,27748,300326,1000003000,2280202000,688.0
436,28256,400037,1000004000,2020202000,1.756
437,28798,500168,1000005000,2150802000,995.0
438,28805,500170,1000005000,2150802005,1.009
439,28806,500178,1000005000,2151102000,984.0
440,29034,500340,1000005000,2280202020,1.095
441,30469,800174,1000008000,2150802009,647.0
442,31611,800317,1000008000,2270201006,1.331
443,31909,800500,1000008000,1000005000,371.0
444,31965,900047,1000009000,2040104003,393.0
445,31967,900239,1000009000,2200302000,1.182
446,31968,900315,1000009000,2270201000,590.0
447,31970,900323,1000009000,2270201016,556.0
448,31971,900355,1000009000,2301202012,751.0
449,31973,900358,1000009000,2310104000,42.8
450,31975,900365,1000009000,2310104007,337.0
451,31984,900366,1000009000,2310104008,324.0
452,31992,900369,1000009000,2310104011,811.0
453,31997,900381,1000009000,2310104027,911.0
454,31999,900557,1000009000,2310104033,296.0
455,32001,100051,1000001000,2060102000,1.437
456,33280,100156,1000001000,2140203014,546.0
457,34024,100340,1000001000,2280202020,292.0
458,34124,100395,1000001000,2320403010,655.0
459,34125,100424,1000001000,2090102006,33.9
460,34237,200072,1000002000,2070603014,715.0
461,34267,200095,1000002000,2110102008,272.0
462,35164,200279,1000002000,2240302011,626.0
463,35184,200394,1000002000,2320403009,214.0
464,37449,500494,1000005000,2280202034,620.0
465,37506,800047,1000008000,2040104003,1.558
466,40385,900231,1000009000,2200201000,984.0
467,40391,900234,1000009000,2200201003,923.0
468,40394,900235,1000009000,2200201004,1.033
469,40416,900244,1000009000,2200302006,1.418
470,40421,900245,1000009000,2200302007,1.207
471,40423,900247,1000009000,2200302009,1.182
472,40433,900300,1000009000,1000003000,955.0
473,40473,900317,1000009000,2270201006,628.0
474,40477,900319,1000009000,2270201009,570.0
475,40479,900320,1000009000,2270201012,623.0
476,40481,900322,1000009000,2270201014,489.0
477,40495,900342,1000009000,2280202023,1.233
478,40496,900351,1000009000,2301202007,951.0
479,40555,900374,1000009000,2310104016,873.0
480,40564,900375,1000009000,2310104020,1.066
481,40566,900379,1000009000,2310104025,772.0
482,41993,100155,1000001000,2140203013,534.0
483,42689,100230,1000001000,2190502009,891.0
484,42816,100326,1000001000,2280202000,494.0
485,42818,100334,1000001000,2280202012,1.047
486,42832,100347,1000001000,2280202030,351.0
487,43098,200105,1000002000,2110102020,434.0
488,44000,200621,1000002000,2110102009,218.0
489,49572,800429,1000008000,3330830000,482.0
490,49652,800519,1000008000,2160502013,640.0
491,49711,900078,1000009000,2090102000,1.341
492,49720,900080,1000009000,2090102002,1.325
493,49722,900100,1000009000,1000001000,1.34
494,49782,900168,1000009000,2150802000,1.342
495,49789,900178,1000009000,2151102000,1.391
496,49840,900241,1000009000,2200302003,1.27
497,50004,900338,1000009000,2280202018,1.263
498,50014,900353,1000009000,2301202010,875.0
499,52071,100208,1000001000,2160502011,147.0
500,52293,100319,1000001000,2270201009,772.0
501,53503,200208,1000002000,2160502000,295.0
502,53528,200230,1000002000,2190502009,786.0
503,53725,300122,1000003000,2120602002,1.128
504,53823,300208,1000003000,2160502000,790.0
505,55100,400200,1000004000,1000002000,473.0
506,55271,400306,1000004000,2260502001,1.175
507,58190,800208,1000008000,2160502000,468.0
508,58305,800218,1000008000,2180402003,630.0
509,59638,900082,1000009000,2090102005,1.359
510,59639,900084,1000009000,2090102007,1.33
511,59695,900104,1000009000,2110102019,1.54
512,59696,900120,1000009000,2120602000,1.562
513,59697,900143,1000009000,2140203000,1.865
514,59737,900197,1000009000,2160502000,1.629
515,59753,900210,1000009000,2170102000,1.384
516,59976,900265,1000009000,2210503018,1.24
517,59978,900270,1000009000,2240302001,1.739
518,60079,900346,1000009000,2280202027,1.328
519,60080,900347,1000009000,2280202030,1.393
520,60898,100095,1000001000,2110102008,339.0
521,62015,100190,1000001000,2160101000,479.0
522,63573,200267,1000002000,2210503021,725.0
523,63828,300133,1000003000,2130403005,585.0
524,63977,300211,1000003000,2170102001,481.0
525,63978,300214,1000003000,2170102004,521.0
526,65743,500225,1000005000,2190502003,375.0
527,67674,800145,1000008000,2140203002,373.0
528,68694,800225,1000008000,2190502003,497.0
529,69757,800366,1000008000,2310104008,2.222
530,69886,800424,1000008000,2090102006,619.0
531,70083,900093,1000009000,2110102005,1.625
532,70103,900105,1000009000,2110102020,1.484
533,70108,900128,1000009000,2130403000,1.351
534,70135,900156,1000009000,2140203014,1.869
535,70186,900238,1000009000,2200201009,889.0
536,70402,900340,1000009000,2280202020,1.333
537,70538,900395,1000009000,2320403010,1.978
538,72368,100320,1000001000,2270201012,816.0
539,72422,100353,1000001000,2301202010,484.0
540,72478,100381,1000001000,2310104027,937.0
541,73479,200280,1000002000,2240302012,509.0
542,73600,300105,1000003000,2110102020,646.0
543,73658,300137,1000003000,2130403010,551.0
544,79106,900155,1000009000,2140203013,1.857
545,79124,900190,1000009000,2160502013,1.8
546,81427,100216,1000001000,2180402000,742.0
547,81596,100280,1000001000,2240302012,498.0
548,81597,100284,1000001000,2240302017,482.0
549,81601,100285,1000001000,2240302018,349.0
550,81605,100291,1000001000,2250902000,1.021
551,81818,100621,1000001000,2110102009,347.0
552,81916,200102,1000002000,2110102017,431.0
553,81917,200103,1000002000,2110102018,353.0
554,82686,200271,1000002000,2240302002,532.0
555,83940,400167,1000004000,2140203026,536.0
556,84446,500229,1000005000,2190502007,414.0
557,84651,500342,1000005000,2280202023,1.28
558,87289,800400,1000008000,1000004000,523.0
559,90877,300110,1000003000,2120101002,900.0
560,90956,300184,1000003000,2151102008,628.0
561,91993,400147,1000004000,2140203004,1.0
562,94971,800234,1000008000,2200201003,1.29
563,99248,300118,1000003000,2120101010,946.0
564,100914,500172,1000005000,2150802007,964.0
565,101105,500295,1000005000,2250902006,888.0
566,104541,900267,1000009000,2210503021,1.151
567,109880,100192,1000001000,2160502017,621.0
568,112689,400610,1000004000,2180402008,930.0
569,112885,100379,1000001000,2310104025,900.0
570,116251,200610,1000002000,2180402008,887.0
571,118364,500610,1000005000,2180402008,432.0
572,121339,800610,1000008000,2180402008,553.0
573,125199,300072,1000003000,2070603014,1.333
574,126991,500037,1000005000,2020202000,2.033
575,127262,500079,1000005000,2090102001,1.0
576,127263,500080,1000005000,2090102002,1.006
577,127275,500112,1000005000,2120101004,1.376
578,127276,500113,1000005000,2120101005,1.553
579,127277,500118,1000005000,2120101010,1.502
580,127278,500125,1000005000,2120602005,1.187
581,127297,500146,1000005000,2140203003,795.0
582,127541,500265,1000005000,2210503018,1.094
583,127542,500267,1000005000,2210503021,1.173
584,128920,800134,1000008000,2130403007,732.0
585,129400,800186,1000008000,2151102011,692.0
586,130020,800235,1000008000,2200201004,1.351
587,130572,800320,1000008000,2270201012,1.434
588,130734,800353,1000008000,2301202010,1.102
589,130802,800379,1000008000,2310104025,1.518
590,130991,900161,1000009000,2140203019,2.184
